Copyright (c) 2018 MaxMind Inc.  All Rights Reserved.
startIpNum,endIpNum,locId
"193.77.102.5","193.77.102.5","999999","TVAA-Borut"
"213.58.201.186","213.58.201.186","999999","TVAA-PedroDoria"
"213.58.201.186","213.58.201.186","999999","TVAA-AndreFerreira"
"193.104.105.40","193.104.105.40","999999","NM"
"77.40.156.208","77.40.156.223","999999","NM"
"37.17.25.0","37.17.25.31","999999","NM"
"81.128.175.130","81.128.175.130","999999","Humax-UK"
"121.133.195.126","121.133.195.126","999999","Humax-HQ-Dev"
"59.12.187.126","59.12.187.126","999999","Humax-HQ"
"85.255.249.2","85.255.249.2","999999","Humax-Poland"
"113.20.127.186","113.20.127.186","999999","Humax-Vietnam"
"203.247.149.239","203.247.149.239","999999","LG-Migracion"
"203.247.149.203","203.247.149.203","999999","LG-Migracion"
"195.160.253.7","195.160.253.7","999999","LG-Russia"
"217.79.6.42","217.79.6.42","999999","LG-Russia"
"112.153.226.1","112.153.226.255","999999","LG-Korea"
"115.141.109.161","115.141.109.177","999999","LG-Korea"
"115.142.122.49","115.142.122.65","999999","LG-Korea"
"115.141.107.193","115.141.107.209","999999","LG-Korea"
"119.194.88.1","119.194.88.254","999999","LG-Korea"
"182.212.44.132","182.212.44.132","999999","LG-Korea"
"203.247.149.1","203.247.149.254","999999","LG-Korea"
"203.247.145.1","203.247.145.65","999999","LG-Korea"
"182.224.177.1","182.224.177.255","999999","LG-Korea"
"182.224.117.1","182.224.117.255","999999","LG-Korea"
"193.67.178.254","193.67.178.254","999999","LG-Korea"
"121.50.29.17","121.50.29.17","999999","LG-Korea"
"121.50.29.18","121.50.29.18","999999","LG-Korea"
"121.50.21.19","121.50.21.19","999999","LG-Korea"
"115.114.17.62","115.114.17.62","999999","LG-India"
"121.66.144.138","121.66.144.138","999999","LG-India-QA"
"180.66.71.1","180.66.71.255","999999","LG-India-QA"
"119.194.84.1","119.194.84.255","999999","LG-India-QA"
"49.172.166.1","49.172.166.255","999999","LG-India-QA"
"121.66.144.140","121.66.144.141","999999","LG-India-QA"
"211.197.28.90","211.197.28.90","999999","LG-India-QA"
"121.140.160.181","121.140.160.181","999999","LG-India-QA"
"27.122.242.72","27.122.242.72","999999","LG-Migracion"
"27.122.242.78","27.122.242.78","999999","LG-Migracion"
"112.219.71.44","112.219.71.45","999999","LG-AppLink"
"27.122.242.71","27.122.242.71","999999","LG-Analysis"
"211.197.28.90","211.197.28.90","999999","LG-Analysis"
"121.140.160.181","121.140.160.181","999999","LG-Analysis"
"112.219.71.44","112.219.71.45","999999","LG-Analysis"
"10.186.122.178","10.186.122.178","999999","LG-tvglobalteam"
"10.186.122.41","10.186.122.41","999999","LG-tvglobalteam"
"118.185.56.178","118.185.56.178","999999","Samsung-India"
"61.246.186.198","61.246.186.198","999999","Samsung-India"
"103.81.106.248","103.81.106.251","999999","Samsung-India"
"210.94.41.89","210.94.41.89","999999","Samsung-Korea"
"222.117.150.186","222.117.150.188","999999","Samsung-Korea"
"112.136.185.253","112.136.185.253","999999","Samsung-Korea"
"124.194.98.154","124.194.98.158","999999","Samsung-Korea"
